"siddaramaiah","14_assembly_first_session","2013-05-29","N"
"siddaramaiah","14_assembly_first_session","2013-05-30","N"
"siddaramaiah","14_assembly_first_session","2013-05-31","Y"
"siddaramaiah","14_assembly_first_session","2013-06-01","Y"
"siddaramaiah","14_assembly_first_session","2013-06-02","Y"
"siddaramaiah","14_assembly_first_session","2013-06-03","Y"
"siddaramaiah","14_assembly_first_session","2013-06-04","Y"
"siddaramaiah","14_assembly_first_session","2013-06-05","NA"
"siddaramaiah","14_assembly_first_session","2013-06-06","NA"
"siddaramaiah","14_assembly_first_session","2013-06-07","NA"
"siddaramaiah","14_assembly_first_session","2013-06-08","NA"
"siddaramaiah","14_assembly_first_session","2013-06-09","NA"
"siddaramaiah","14_assembly_first_session","2013-06-10","NA"
"siddaramaiah","14_assembly_first_session","2013-06-11","NA"
"siddaramaiah","14_assembly_first_session","2013-06-12","NA"
"siddaramaiah","14_assembly_first_session","2013-06-11","NA"
"siddaramaiah","14_assembly_first_session","2013-06-13","NA"